Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Label
1,23.58,11.5,2,2,6,8,3,3,3,0,4,1,20,16,0
2,21.42,0.75,2,2,8,10,0.75,3,3,0,4,1,132,2,0
2,33,2.5,2,2,10,7,7,3,3,0,4,1,280,0,0
2,26.33,13,1,1,12,12,0,3,3,0,4,1,140,1110,0
1,45,4.585,1,1,6,8,1,3,3,0,4,3,240,0,0
2,26.25,1.54,1,1,10,7,0.125,3,3,0,3,1,100,0,0
1740.79130434783,28.17,0.585,1,1,13,7,0.04,3,3,0,3,1,260,1004,0
1,20.83,0.5,2,2,12,12,1,3,3,0,3,1,260,0,0
2,28.67,14.5,1,1,2,7,0.125,3,3,0,3,1,0,286,0
2,20.67,0.835,2,2,1,7,2,3,3,0,4,3,240,0,0
2,34.42,1.335,1,1,4,9,0.125,3,3,0,4,1,440,4500,0
2,33.58,0.25,1,1,4,9,4,3,3,0,4,3,420,0,0
2,43.17,5,1,1,4,9,2.25,3,3,0,4,1,141,0,0
1,22.67,7,1,1,1,7,0.165,3,3,0,3,1,160,0,0
1,24.33,2.5,2,2,4,9,4.5,3,3,0,3,1,200,456,0
1,56.83,4.25,2,2,14,14,5,3,3,0,4,1,0,4,0
2,22.08,11.46,1,1,6,7,1.585,3,3,0,4,1,100,1212,0
2,34,5.5,2,2,1,7,1.5,3,3,0,4,1,60,0,0
2,22.58,1.5,2,2,13,7,0.54,3,3,0,4,1,120,67,0
2,21.17,0,1,1,1,7,0.5,3,3,0,4,3,0,0,0
2,26.67,14.585,1,1,4,9,0,3,3,0,4,1,178,0,0
2,22.92,0.17,1,1,7,7,0.085,3,3,0,3,3,0,0,0
2,15.17,7,1,1,12,7,1,3,3,0,3,1,600,0,0
2,39.92,5,1,1,4,9,0.21,3,3,0,3,1,550,0,0
2,27.42,12.5,1,1,13,9,0.25,3,3,0,4,1,720,0,0
2,24.75,0.54,1,1,7,7,1,3,3,0,4,1,120,1,0
2,41.17,1.25,2,2,10,7,0.25,3,3,0,3,1,0,195,0
1,33.08,1.625,1,1,2,7,0.54,3,3,0,4,1,0,0,0
2,29.83,2.04,2,2,11,8,0.04,3,3,0,3,1,128,1,0
1,23.58,0.585,2,2,14,14,0.125,3,3,0,3,1,120,87,0
2,26.17,12.5,2,2,6,8,1.25,3,3,0,4,1,0,17,0
2,31,2.085,1,1,1,7,0.085,3,3,0,3,1,300,0,0
2,20.75,5.085,2,2,5,7,0.29,3,3,0,3,1,140,184,0
2,28.92,0.375,1,1,1,7,0.29,3,3,0,3,1,220,140,0
1,51.92,6.5,1,1,4,9,3.085,3,3,0,4,1,73,0,0
1,22.67,0.335,1,1,9,7,0.75,3,3,0,3,3,160,0,0
2,34,5.085,2,2,4,9,1.085,3,3,0,4,1,480,0,0
1,69.5,6,1,1,14,14,0,3,3,0,3,3,0,0,0
1,40.33,8.125,2,2,6,7,0.165,3,4,2,3,1,2064.60579710145,18,0
1,19.58,0.665,2,2,1,7,1,3,4,1,3,1,2000,2,0
2,16,3.125,1,1,10,7,0.085,3,4,1,3,1,0,6,0
2,17.08,0.25,1,1,9,7,0.335,3,4,4,3,1,160,8,0
2,31.25,2.835,1,1,14,14,0,3,4,5,3,1,176,146,0
2,25.17,3,1,1,1,7,1.25,3,4,1,3,1,0,22,0
1,22.67,0.79,1,1,4,7,0.085,3,3,0,3,1,144,0,0
2,40.58,1.5,1,1,4,9,0,3,3,0,3,3,300,0,0
2,22.25,0.46,1,1,6,7,0.125,3,3,0,4,1,280,55,0
1,22.25,1.25,2,2,14,14,3.25,3,3,0,3,1,280,0,0
2,22.5,0.125,2,2,6,7,0.125,3,3,0,3,1,200,70,0
2,23.58,1.79,1,1,1,7,0.54,3,3,0,4,1,136,1,0
2,38.42,0.705,1,1,1,7,0.375,3,4,2,3,1,225,500,0
1,26.58,2.54,2,2,14,14,0,3,3,0,4,1,180,60,0
2,35,2.5,1,1,4,7,1,3,3,0,4,1,210,0,0
2,20.42,1.085,1,1,9,7,1.5,3,3,0,3,1,108,7,0
2,29.42,1.25,1,1,10,7,1.75,3,3,0,3,1,200,0,0
2,26.17,0.835,1,1,3,7,1.165,3,3,0,3,1,100,0,0
2,33.67,2.165,1,1,1,7,1.5,3,3,0,3,2,120,0,0
2,24.58,1.25,1,1,1,7,0.25,3,3,0,3,1,110,0,0
1,27.67,2.04,1,1,10,7,0.25,3,3,0,4,1,180,50,0
2,37.5,0.835,1,1,12,7,0.04,3,3,0,3,1,120,5,0
2,49.17,2.29,1,1,14,14,0.29,3,3,0,3,1,200,3,0
2,33.58,0.335,2,2,3,7,0.085,3,3,0,3,1,180,0,0
2,51.83,3,2,2,14,14,1.5,3,3,0,3,1,180,4,0
2,22.92,3.165,2,2,1,7,0.165,3,3,0,3,1,160,1058,0
2,21.83,1.54,1,1,6,7,0.085,3,3,0,4,1,356,0,0
2,25.25,1,1,1,13,7,0.5,3,3,0,3,1,200,0,0
2,58.58,2.71,1,1,1,7,2.415,3,3,0,4,1,320,0,0
2,19,0,2,2,14,14,0,3,4,4,3,1,45,1,0
2,19.58,0.585,1,1,14,14,0,3,4,3,3,1,350,769,0
1,53.33,0.165,1,1,14,14,0,3,3,0,4,3,62,27,0
1,27.17,1.25,1,1,14,14,0,3,4,1,3,1,92,300,0
2,25.92,0.875,1,1,6,7,0.375,3,4,2,4,1,174,3,0
2,23.08,0,1,1,6,7,1,3,4,11,3,3,0,0,0
2,39.58,5,1,1,14,14,0,3,4,2,3,1,17,1,0
2,30.58,2.71,2,2,7,7,0.125,3,3,0,4,3,80,0,0
2,17.25,3,1,1,6,7,0.04,3,3,0,4,1,160,40,0
1,17.67,0,2,2,5,14,0,3,3,0,3,1,86,0,0
1,1770.1495942029,11.25,1,1,14,14,0,3,3,0,3,1,2064.60579710145,5200,0
2,16.5,0.125,1,1,1,7,0.165,3,3,0,3,1,132,0,0
1,27.33,1.665,1,1,14,14,0,3,3,0,3,1,340,1,0
2,31.25,1.125,1,1,14,14,0,3,4,1,3,1,96,19,0
2,20,7,1,1,1,7,0.5,3,3,0,3,1,0,0,0
2,1770.1495942029,3,2,2,4,9,7,3,3,0,3,1,0,1,0
2,39.5,1.625,1,1,1,7,1.5,3,3,0,3,1,0,316,0
2,36.5,4.25,1,1,9,7,3.5,3,3,0,3,1,454,50,0
1740.79130434783,29.75,0.665,1,1,10,7,0.25,3,3,0,4,1,300,0,0
2,52.42,1.5,1,1,2,7,3.75,3,3,0,4,1,0,350,0
2,36.17,18.125,1,1,10,7,0.085,3,3,0,3,1,320,3552,0
2,34.58,0,870.798550724638,870.798550724638,1311.16811594203,1312.30724637681,0,3,3,0,3,2,2064.60579710145,0,0
2,29.67,0.75,2,2,1,7,0.04,3,3,0,3,1,240,0,0
2,36.17,5.5,1,1,4,9,5,3,3,0,3,1,210,687,0
2,25.67,0.29,2,2,1,7,1.5,3,3,0,4,1,160,0,0
1,24.5,2.415,2,2,1,7,0,3,3,0,3,1,120,0,0
2,24.08,0.875,1,1,7,7,0.085,3,4,4,3,1,254,1950,0
2,21.92,0.5,1,1,1,7,0.125,3,3,0,3,1,360,0,0
1,36.58,0.29,1,1,14,14,0,3,4,10,3,1,200,18,0
1,23,1.835,1,1,5,5,0,3,4,1,3,1,200,53,0
1,27.58,3,1,1,7,7,2.79,3,4,1,4,1,280,10,0
2,31.08,3.085,1,1,1,7,2.5,3,4,2,4,1,160,41,0
1,30.42,1.375,1,1,10,8,0.04,3,4,3,3,1,0,33,0
2,22.08,2.335,1,1,6,7,0.75,3,3,0,3,1,180,0,0
2,16.33,4.085,1,1,4,8,0.415,3,3,0,4,1,120,0,0
1,21.92,11.665,1,1,6,8,0.085,3,3,0,3,1,320,5,0
2,21.08,4.125,2,2,4,8,0.04,3,3,0,3,1,140,100,0
2,17.42,6.5,1,1,4,7,0.125,3,3,0,3,1,60,100,0
2,19.17,4,2,2,4,7,1,3,3,0,4,1,360,1000,0
2,20.67,0.415,1,1,1,7,0.125,3,3,0,3,1,0,44,0
2,26.75,2,1,1,2,7,0.75,3,3,0,4,1,80,0,0
2,23.58,0.835,1,1,4,8,0.085,3,3,0,4,1,220,5,0
2,39.17,2.5,2,2,4,8,10,3,3,0,4,3,200,0,0
2,22.75,11.5,1,1,4,7,0.415,3,3,0,3,1,0,0,0
1740.79130434783,26.5,2.71,2,2,1311.16811594203,1312.30724637681,0.085,3,3,0,3,3,80,0,0
1,16.92,0.5,1,1,4,7,0.165,3,4,6,4,1,240,35,0
2,23.5,3.165,2,2,6,7,0.415,3,4,1,4,1,280,80,0
1,17.33,9.5,1,1,13,7,1.75,3,4,10,4,1,0,10,0
2,23.75,0.415,2,2,1,7,0.04,3,4,2,3,1,128,6,0
2,34.67,1.08,1,1,7,7,1.165,3,3,0,3,3,28,0,0
2,74.83,19,2,2,14,14,0.04,3,4,2,3,1,0,351,0
2,28.17,0.125,2,2,6,7,0.085,3,3,0,3,1,216,2100,0
2,24.5,13.335,2,2,13,7,0.04,3,3,0,4,1,120,475,0
2,18.83,3.54,2,2,14,14,0,3,3,0,4,1,180,1,0
1740.79130434783,45.33,1,1,1,9,7,0.125,3,3,0,4,1,263,0,0
1,47.25,0.75,1,1,9,8,2.75,4,4,1,3,1,333,892,1
2,24.17,0.875,1,1,9,7,4.625,4,4,2,4,1,520,2000,1
2,39.25,9.5,1,1,7,7,6.5,4,4,14,3,1,240,4607,1
1,20.5,11.835,1,1,1,8,6,4,3,0,3,1,340,0,1
1,18.83,4.415,2,2,1,8,3,4,3,0,3,1,240,0,1
2,19.17,9.5,1,1,10,7,1.5,4,3,0,3,1,120,2206,1
1,25,0.875,1,1,11,8,1.04,4,3,0,4,1,160,5860,1
2,20.17,9.25,1,1,1,7,1.665,4,4,3,4,1,40,28,1
2,25.75,0.5,1,1,1,7,1.46,4,4,5,4,1,312,0,1
2,20.42,7,1,1,1,7,1.625,4,4,3,3,1,200,1391,1
2,1770.1495942029,4,1,1,11,7,5,4,4,3,4,1,290,2279,1
2,39,5,1,1,3,7,3.5,4,4,10,4,1,0,0,1
1,64.08,0.165,1,1,14,14,0,4,4,1,3,1,232,100,1
2,28.25,5.125,1,1,11,7,4.75,4,4,2,3,1,420,7,1
1,28.75,3.75,1,1,1,7,1.085,4,4,1,4,1,371,0,1
2,31.33,19.5,1,1,1,7,7,4,4,16,3,1,0,5000,1
1,18.92,9,1,1,13,7,0.75,4,4,2,3,1,88,591,1
1,24.75,3,1,1,9,8,1.835,4,4,19,3,1,0,500,1
1,30.67,12,1,1,1,7,2,4,4,1,3,1,220,19,1
2,21,4.79,2,2,10,7,2.25,4,4,1,4,1,80,300,1
2,13.75,4,2,2,10,7,1.75,4,4,2,4,1,120,1000,1
1,46,4,1,1,5,5,0,4,3,0,3,1,100,960,1
1,44.33,0,1,1,1,7,2.5,4,3,0,3,1,0,0,1
2,20.25,9.96,1,1,12,12,0,4,3,0,3,1,0,0,1
2,22.67,2.54,2,2,1,8,2.585,4,3,0,3,1,0,0,1
2,1770.1495942029,10.5,1,1,11,7,6.5,4,3,0,3,1,0,0,1
1,60.92,5,1,1,13,7,4,4,4,4,3,1,0,99,1
2,16.08,0.75,1,1,1,7,1.75,4,4,5,4,1,352,690,1
1,28.17,0.375,1,1,9,7,0.585,4,4,4,3,1,80,0,1
2,39.17,1.71,1,1,11,7,0.125,4,4,5,4,1,480,0,1
1740.79130434783,20.42,7.5,1,1,6,7,1.5,4,4,1,3,1,160,234,1
1,30,5.29,1,1,12,12,2.25,4,4,5,4,1,99,500,1
2,22.83,3,1,1,7,7,1.29,4,4,1,3,1,260,800,1
1,22.5,8.5,1,1,9,7,1.75,4,4,10,3,1,80,990,0
1,28.58,1.665,1,1,9,7,2.415,4,3,0,4,1,440,0,0
2,45.17,1.5,1,1,1,7,2.5,4,3,0,4,1,140,0,0
2,41.58,1.75,1,1,6,7,0.21,4,3,0,3,1,160,0,0
1,57.08,0.335,1,1,4,9,1,4,3,0,4,1,252,2197,0
1,55.75,7.08,1,1,6,8,6.75,4,4,3,4,1,100,50,0
2,43.25,25.21,1,1,9,8,0.21,4,4,1,3,1,760,90,0
1,25.33,2.085,1,1,1,8,2.75,4,3,0,4,1,360,1,0
1,24.58,0.67,1,1,13,8,1.75,4,3,0,3,1,400,0,0
2,43.17,2.25,1,1,4,9,0.75,4,3,0,3,1,560,0,0
2,40.92,0.835,1,1,14,14,0,4,3,0,3,1,130,1,0
2,31.83,2.5,1,1,13,7,7.5,4,3,0,4,1,523,0,0
1,33.92,1.585,2,2,14,14,0,4,3,0,3,1,320,0,0
1,24.92,1.25,1,1,14,14,0,4,3,0,3,1,80,0,0
2,35.25,3.165,1,1,11,8,3.75,4,3,0,4,1,680,0,0
2,34.25,1.75,1,1,10,9,0.25,4,3,0,4,1,163,0,0
2,80.25,5.5,1,1,1311.16811594203,1312.30724637681,0.54,4,3,0,3,1,0,340,0
2,19.42,1.5,2,2,3,7,2,4,3,0,4,1,100,20,0
2,42.75,3,1,1,4,9,1,4,3,0,3,1,0,200,0
2,19.67,10,2,2,6,8,0.835,4,3,0,4,1,140,0,0
2,36.33,3.79,1,1,10,7,1.165,4,3,0,4,1,200,0,0
2,30.08,1.04,2,2,4,9,0.5,4,4,10,4,1,132,28,0
2,44.25,11,2,2,2,7,1.5,4,3,0,3,3,0,0,0
2,23.58,0.46,2,2,10,7,2.625,4,4,6,4,1,208,347,0
2,23.92,1.5,1,1,2,8,1.875,4,4,6,3,1,200,327,1
2,33.17,1,1,1,11,7,0.75,4,4,7,4,1,340,4071,1
2,48.33,12,1,1,7,7,16,4,3,0,3,3,110,0,1
2,76.75,22.29,1,1,12,11,12.75,4,4,1,4,1,0,109,1
2,51.33,10,1,1,4,9,0,4,4,11,3,1,0,1249,1
2,34.75,15,1,1,8,10,5.375,4,4,9,4,1,0,134,1
2,38.58,3.335,1,1,10,7,4,4,4,14,3,1,383,1344,1
1,22.42,11.25,2,2,11,8,0.75,4,4,4,3,1,0,321,1
2,41.92,0.42,1,1,1,8,0.21,4,4,6,3,1,220,948,1
2,29.58,4.5,1,1,10,7,7.5,4,4,2,4,1,330,0,1
1,32.17,1.46,1,1,10,7,1.085,4,4,16,3,1,120,2079,1
2,51.42,0.04,1,1,11,8,0.04,4,3,0,3,1,0,3000,1
1,22.83,2.29,1,1,9,8,2.29,4,4,7,4,1,140,2384,1
1,25,12.33,1,1,3,8,3.5,4,4,6,3,1,400,458,1
2,26.75,1.125,1,1,11,8,1.25,4,3,0,3,1,0,5298,1
2,23.33,1.5,1,1,1,8,1.415,4,3,0,3,1,422,200,1
2,24.42,12.335,1,1,9,8,1.585,4,3,0,4,1,120,0,1
2,42.17,5.04,1,1,9,8,12.75,4,3,0,4,1,92,0,1
1,20.83,3,1,1,13,7,0.04,4,3,0,3,1,100,0,1
2,23.08,11.5,1,1,10,8,2.125,4,4,11,4,1,290,284,1
1,25.17,2.875,1,1,11,8,0.875,4,3,0,3,1,360,0,1
2,43.08,0.375,2,2,1,7,0.375,4,4,8,4,1,300,162,1
1,35.75,0.915,1,1,13,7,0.75,4,4,4,3,1,0,1583,1
2,59.5,2.75,1,1,10,7,1.75,4,4,5,4,1,60,58,1
2,21,3,2,2,2,7,1.085,4,4,8,4,1,160,1,1
2,21.92,0.54,2,2,11,7,0.04,4,4,1,4,1,840,59,1
1,65.17,14,1,1,14,14,0,4,4,11,4,1,0,1400,1
1,20.33,10,1,1,1,8,1,4,4,4,3,1,50,1465,1
2,32.25,0.165,2,2,1,8,3.25,4,4,1,4,1,432,8000,1
2,30.17,0.5,1,1,1,7,1.75,4,4,11,3,1,32,540,1
2,25.17,6,1,1,1,7,1,4,4,3,3,1,0,0,1
2,39.17,1.625,1,1,1,7,1.5,4,4,10,3,1,186,4700,1
2,39.08,6,1,1,7,7,1.29,4,4,5,4,1,108,1097,1
2,31.67,0.83,1,1,11,7,1.335,4,4,8,4,1,303,3290,1
2,41,0.04,1,1,12,7,0.04,3,4,1,3,3,560,0,1
2,48.5,4.25,1,1,7,7,0.125,4,3,0,4,1,225,0,1
2,32.67,9,2,2,10,8,5.25,4,3,0,4,1,154,0,1
1,28.08,15,2,2,12,11,0,4,3,0,3,1,0,13212,1
2,73.42,17.75,1,1,14,14,0,4,3,0,4,1,0,0,1
2,64.08,20,1,1,11,8,17.5,4,4,9,4,1,0,1000,1
2,51.58,15,1,1,1,7,8.5,4,4,9,3,1,0,0,1
2,26.67,1.75,2,2,1,7,1,4,4,5,4,1,160,5777,1
2,25.33,0.58,1,1,1,7,0.29,4,4,7,4,1,96,5124,1
2,30.17,6.5,1,1,3,7,3.125,4,4,8,3,1,330,1200,1
2,27,0.75,1,1,1,8,4.25,4,4,3,4,1,312,150,1
2,23.17,0,870.798550724638,870.798550724638,1311.16811594203,1312.30724637681,0,3,3,0,3,2,2064.60579710145,0,1
2,34.17,5.25,1,1,10,7,0.085,3,3,0,4,1,290,6,1
2,38.67,0.21,1,1,6,7,0.085,4,3,0,4,1,280,0,1
2,25.75,0.75,1,1,1,9,0.25,4,3,0,3,1,349,23,1
1,46.08,3,1,1,1,7,2.375,4,4,8,4,1,396,4159,1
1,21.5,6,1,1,13,7,2.5,4,4,3,3,1,80,918,1
1740.79130434783,20.08,0.125,1,1,9,7,1,3,4,1,3,1,240,768,1
2,20.5,2.415,1,1,1,7,2,4,4,11,4,1,200,3000,1
1,29.5,0.46,1,1,6,7,0.54,4,4,4,3,1,380,500,1
1740.79130434783,42.25,1.75,2,2,1311.16811594203,1312.30724637681,0,3,3,0,4,1,150,1,0
2,29.83,1.25,2,2,6,7,0.25,3,3,0,3,1,224,0,0
2,20.08,0.25,1,1,9,7,0.125,3,3,0,3,1,200,0,0
2,23.42,0.585,1,1,1,8,0.085,4,3,0,3,1,180,0,0
1,29.58,1.75,2,2,6,7,1.25,3,3,0,4,1,280,0,0
2,16.17,0.04,1,1,1,7,0.04,3,3,0,3,1,0,0,1
2,32.33,3.5,1,1,6,7,0.5,3,3,0,4,1,232,0,0
2,1770.1495942029,0.04,2,2,2,7,4.25,3,3,0,4,1,460,0,0
2,47.83,4.165,1,1,11,9,0.085,3,3,0,4,1,520,0,0
2,20,1.25,2,2,6,7,0.125,3,3,0,3,1,140,4,0
2,27.58,3.25,2,2,9,8,5.085,3,4,2,4,1,369,1,0
2,22,0.79,1,1,10,7,0.29,3,4,1,3,1,420,283,0
2,19.33,10.915,1,1,1,9,0.585,3,4,2,4,1,200,7,0
1,38.33,4.415,1,1,1,7,0.125,3,3,0,3,1,160,0,0
2,29.42,1.25,1,1,1,8,0.25,3,4,2,4,1,400,108,0
2,22.67,0.75,1,1,4,7,1.585,3,4,1,4,1,400,9,0
2,32.25,14,2,2,14,14,0,3,4,2,3,1,160,1,0
2,29.58,4.75,1,1,7,7,2,3,4,1,4,1,460,68,0
2,18.42,10.415,2,2,13,7,0.125,4,3,0,3,1,120,375,0
2,22.17,2.25,1,1,4,7,0.125,3,3,0,3,1,160,10,0
2,22.67,0.165,1,1,1,5,2.25,3,3,0,4,3,0,0,1
1,25.58,0,870.798550724638,870.798550724638,1311.16811594203,1312.30724637681,0,3,3,0,3,2,2064.60579710145,0,1
2,18.83,0,1,1,9,7,0.665,3,3,0,3,1,160,1,0
2,21.58,0.79,2,2,3,7,0.665,3,3,0,3,1,160,0,0
2,23.75,12,1,1,1,7,2.085,3,3,0,3,3,80,0,0
2,22,7.835,2,2,4,9,0.165,3,3,0,4,1,2064.60579710145,0,0
2,36.08,2.54,1,1,14,14,0,3,3,0,3,1,0,1000,0
2,29.25,13,1,1,2,8,0.5,3,3,0,3,1,228,0,0
1,19.58,0.665,1,1,10,7,1.665,3,3,0,3,1,220,5,0
1,22.92,1.25,1,1,9,7,0.25,3,3,0,4,1,120,809,0
1,27.25,0.29,1,1,7,8,0.125,3,4,1,4,1,272,108,0
1,38.75,1.5,1,1,14,14,0,3,3,0,3,1,76,0,0
2,32.42,2.165,2,2,6,14,0,3,3,0,3,1,120,0,0
1,23.75,0.71,1,1,10,7,0.25,3,4,1,4,1,240,4,0
2,18.17,2.46,1,1,1,10,0.96,3,4,2,4,1,160,587,0
2,40.92,0.5,2,2,7,7,0.5,3,3,0,4,1,130,0,0
2,19.5,9.585,1,1,13,7,0.79,3,3,0,3,1,80,350,0
2,28.58,3.625,1,1,13,7,0.25,3,3,0,4,1,100,0,0
2,35.58,0.75,1,1,6,7,1.5,3,3,0,4,1,231,0,0
2,34.17,2.75,1,1,4,9,2.5,3,3,0,4,1,232,200,0
1740.79130434783,33.17,2.25,2,2,3,7,3.5,3,3,0,4,1,200,141,0
2,31.58,0.75,2,2,13,7,3.5,3,3,0,4,1,320,0,0
1,52.5,7,1,1,13,8,3,3,3,0,3,1,0,0,0
2,36.17,0.42,2,2,10,7,0.29,3,3,0,4,1,309,2,0
2,37.33,2.665,1,1,3,7,0.165,3,3,0,4,1,0,501,0
1,20.83,8.5,1,1,1,7,0.165,3,3,0,3,1,0,351,0
2,24.08,9,1,1,13,7,0.25,3,3,0,4,1,0,0,0
2,25.58,0.335,1,1,6,8,3.5,3,3,0,4,1,340,0,0
1,35.17,3.75,1,1,14,14,0,3,4,6,3,1,0,200,0
2,48.08,3.75,1,1,4,9,1,3,3,0,3,1,100,2,0
1,15.83,7.625,1,1,9,7,0.125,3,4,1,4,1,0,160,0
1,22.5,0.415,1,1,4,7,0.335,3,3,0,4,3,144,0,0
2,21.5,11.5,1,1,4,7,0.5,4,3,0,4,1,100,68,0
1,23.58,0.83,1,1,9,7,0.415,3,4,1,4,1,200,11,0
1,21.08,5,2,2,14,14,0,3,3,0,3,1,0,0,0
2,25.67,3.25,1,1,1,8,2.29,3,4,1,4,1,416,21,0
1,38.92,1.665,1,1,13,7,0.25,3,3,0,3,1,0,390,0
1,15.75,0.375,1,1,1,7,1,3,3,0,3,1,120,18,0
1,28.58,3.75,1,1,1,7,0.25,3,4,1,4,1,40,154,0
2,22.25,9,1,1,13,7,0.085,3,3,0,3,1,0,0,0
2,29.83,3.5,1,1,1,7,0.165,3,3,0,3,1,216,0,0
1,23.5,1.5,1,1,10,7,0.875,3,3,0,4,1,160,0,0
2,32.08,4,2,2,3,7,1.5,3,3,0,4,1,120,0,0
2,31.08,1.5,2,2,10,7,0.04,3,3,0,3,3,160,0,0
2,31.83,0.04,2,2,7,7,0.04,3,3,0,3,1,0,0,0
1,21.75,11.75,1,1,1,7,0.25,3,3,0,4,1,180,0,0
1,17.92,0.54,1,1,1,7,1.75,3,4,1,4,1,80,5,0
2,30.33,0.5,1,1,2,8,0.085,3,3,0,4,3,252,0,0
2,51.83,2.04,2,2,14,14,1.5,3,3,0,3,1,120,1,0
2,47.17,5.835,1,1,10,7,5.5,3,3,0,3,1,465,150,0
2,25.83,12.835,1,1,3,7,0.5,3,3,0,3,1,0,2,0
1,50.25,0.835,1,1,13,7,0.5,3,3,0,4,1,240,117,0
1740.79130434783,29.5,2,2,2,12,8,2,3,3,0,3,1,256,17,0
1,37.33,2.5,1,1,4,8,0.21,3,3,0,3,1,260,246,0
1,41.58,1.04,1,1,13,7,0.665,3,3,0,3,1,240,237,0
1,30.58,10.665,1,1,9,8,0.085,3,4,12,4,1,129,3,0
2,19.42,7.25,1,1,7,7,0.04,3,4,1,3,1,100,1,0
1,17.92,10.21,1,1,14,14,0,3,3,0,3,1,0,50,0
1,20.08,1.25,1,1,1,7,0,3,3,0,3,1,0,0,0
2,19.5,0.29,1,1,6,7,0.29,3,3,0,3,1,280,364,0
2,27.83,1,2,2,2,8,3,3,3,0,3,1,176,537,0
2,17.08,3.29,1,1,4,7,0.335,3,3,0,4,1,140,2,0
2,36.42,0.75,2,2,2,7,0.585,3,3,0,3,1,240,3,0
2,40.58,3.29,1,1,7,7,3.5,3,3,0,4,3,400,0,0
2,21.08,10.085,2,2,12,8,1.25,3,3,0,3,1,260,0,0
1,22.67,0.75,1,1,1,7,2,3,4,2,4,1,200,394,0
1,25.25,13.5,2,2,14,14,2,3,4,1,4,1,200,1,0
2,17.92,0.205,1,1,13,7,0.04,3,3,0,3,1,280,750,0
2,35,3.375,1,1,1,8,8.29,3,3,0,4,1,0,0,0
